game,game_id,hours_watched,airtime_hours,peak_viewers,peak_channels,unique_channels,average_viewers,average_channels
Garena Free Fire,65194,121224247,664287,1764491,1743,144308,168367.0097,922.6208333
Among Us,70938,139872815,1461403,1425862,5776,444509,194267.7986,2029.726389
Minecraft,30475,141344003,2339513,1311856,6537,535112,196311.1153,3249.323611
Just Chatting,0,232389533,2802304,1016623,6743,630165,322763.2403,3892.088889
World of Warcraft,19783,56281608,1755894,1015552,26438,132059,78168.9,2438.741667
Call of Duty: Black Ops - Cold War,73518,62063652,3337898,878609,32009,435459,86199.51667,4635.969444
Counter-Strike: Global Offensive,36113,87331441,1422329,816798,3931,247964,121293.6681,1975.456944
PUBG Mobile,67843,179219126,1731931,754599,2627,188189,248915.4528,2405.459722
Fortnite,37030,111655675,6298698,751644,26711,1231755,155077.3264,8748.191667
League of Legends,24024,136466229,3554389,627019,9336,374818,189536.4292,4936.651389
Apex Legends,72014,59665335,3494325,531431,11778,453765,82868.52083,4853.229167
FIFA 21,79149,59911842,1047908,514074,4503,181190,83210.89167,1455.427778
Destiny 2,52647,19493886,1452422,502366,21427,138988,27074.84167,2017.252778
Grand Theft Auto V,36765,100017398,1668698,457921,5088,275753,138913.0528,2317.636111
Mobile Legends: Bang Bang,56894,38874060,663810,438630,2200,139609,53991.75,921.9583333
Cyberpunk 2077,38456,497345,5545,418817,324,854,690.7569444,7.701388889
Dance Central,31705,1765689,105,408496,10,29,2452.345833,0.145833333
Assassin's Creed Valhalla,78229,25650175,1021678,407249,8364,116441,35625.24306,1418.997222
Marvel's Spider-Man: Miles Morales,78950,9548961,215027,356944,1919,50044,13262.44583,298.6486111
Arena of Valor,61339,27314360,152499,350374,361,12699,37936.61111,211.8041667
Call of Duty: Modern Warfare,73517,49780724,5413048,337204,18394,743048,69139.89444,7518.122222
Dota 2,32887,54433781,833917,333492,2155,67841,75602.47361,1158.218056
Demon's Souls,24057,25807737,166091,304381,924,25323,35844.07917,230.6819444
Brawl Stars,59984,10375153,109717,302123,428,27629,14409.93472,152.3847222
Fall Guys: Ultimate Knockout,73776,6362200,254992,290423,767,104213,8836.388889,354.1555556
Glitchcon,0,2300215,1394,259170,141,587,3194.743056,1.936111111
Phasmophobia,79109,15576649,1160039,251198,9230,215264,21634.23472,1611.165278
Rocket League,34407,21782492,1703356,247822,4947,553738,30253.46111,2365.772222
Assassin's creed: valhalla,0,4836900,7714,245841,554,2071,6717.916667,10.71388889
Special Events,0,3054303,37612,236945,209,15058,4242.0875,52.23888889
Call of Duty: Warzone,77550,29752327,1783236,223530,9073,176720,41322.67639,2476.716667
Valorant,77445,47715477,2528808,218977,5838,313526,66271.49583,3512.233333
Five Nights at Freddy's 2,48094,257145,14403,209099,174,16157,357.1458333,20.00416667
Fate/Grand Order,51422,479911,10671,198405,84,1401,666.5430556,14.82083333
Roblox,25462,10647327,312168,194110,1616,107643,14787.95417,433.5666667
PlayerUnknown's Battlegrounds,54979,20935625,885006,182546,2062,105648,29077.25694,1229.175
The Dark Pictures Anthology: Little Hope,75036,3760003,89844,179652,1739,24335,5222.226389,124.7833333
WWE SuperCard,47380,1335026,17582,175695,89,4247,1854.202778,24.41944444
Street Fighter V,48320,4707960,112782,175285,308,26418,6538.833333,156.6416667
Escape From Tarkov,53106,17229801,688938,171264,1618,40902,23930.27917,956.8583333
